ID	Date	Offer1	Offer2	OfferDM1	OfferDM2	Refusal1	Refusal2	DMI	Breed	Parityt	month	Treatment
2315	01/05/2000	116.2935484	45.75	0.9221	0.901	0	0	4.867378065	1	1	12	1
2315	01/06/2000	120.9833333	46.46166667	0.9221	0.901	0	0	5.030186667	1	1	13	1
2315	01/07/2000	124.2629032	48.8	0.903	0.8948	0	0	5.110676774	1	1	14	1
2315	01/08/2000	139.5129032	53.71935484	0.903	0.8948	0	0	5.706499355	1	1	15	1
2315	01/09/2000	164.5983333	63.94833333	0.903	0.8948	0	0	6.749287333	1	2	1	1
2315	01/10/2000	137.7419355	52.24354839	0.9221	0.901	0	0	5.707648387	1	2	2	1
2315	01/11/2000	110.8166667	42.7	0.9221	0.901	0	0	4.611696667	1	2	3	1
2315	01/12/2000	109.8	42.7	0.9221	0.901	0	0	4.58096	1	2	4	1
2315	01/01/2001	109.8	42.7	0.9221	0.901	0	0	4.58096	1	2	5	1
2315	01/02/2001	109.8	43.35357143	0.9221	0.901	0	0	4.600267143	1	2	6	1
2315	01/03/2001	112.6532258	44.47096774	0.9221	0.901	0	0	4.719537097	1	2	7	1
2315	01/04/2001	113.155	43.005	0.9221	0.901	0	0	4.691401	1	2	8	1
2315	01/05/2001	117.1790323	45.75	0.9221	0.901	0.041935484	0	4.85548	1	2	9	1
2315	01/06/2001	118.2383333	45.75	0.9221	0.901	0	0	4.926174333	1	2	10	1
2315	01/07/2001	120.3274194	45.75	0.903	0.8948	0	0	4.904680645	1	2	11	1
2315	01/08/2001	121.7048387	48.50483871	0.903	0.8948	0	0	5.026281935	1	2	12	1
2315	01/09/2001	125.05	48.8	0.903	0.8948	0	0	5.13398	1	2	13	1
2315	01/10/2001	126.9193548	48.8	0.9221	0.901	0	0	5.278725806	1	2	14	1
2315	01/11/2001	130.9466667	50.935	0.9221	0.901	0	0	5.463552667	1	2	15	1
2315	01/12/2001	135.5774194	51.85	0.9221	0.901	0	0	5.630583226	1	2	16	1
2315	01/01/2002	138.1354839	53.12903226	0.9221	0.901	0	0	5.745704516	1	2	17	1
2315	01/02/2002	143.1321429	55.98928571	0.9221	0.901	0	0	5.981262143	1	2	18	1
2321	01/01/1999	143.35	54.9	0.9221	0.901	0	0	5.95567	1	1	1	1
