ID	Parity	Treatment	month	DM	ME	GE	FME	CP	ADIN	DMD	a	b	c	NDF
2315	7	1	7	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	8	1	8	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	9	1	9	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	10	1	10	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	11	1	11	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	12	1	12	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	13	1	13	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	14	1	14	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	15	1	15	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	16	1	16	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	17	1	17	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	18	1	18	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	1	1	1	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	2	1	2	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	3	1	3	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	4	1	4	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	5	1	5	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2315	6	1	6	903	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	1	1	1	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	2	1	2	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
2321	3	1	3	922.1	9.6	17.4	9.6	45	1.3	0.505882353	0.22	0.26	0.08	752
