ID	Parity	Treatment	month	Offer1	Offer2
2330	1	3	16	185.6564516	72.80645161
2330	1	3	17	184.83	71.77666667
2330	1	3	18	189.3951613	73.2
2330	1	3	19	190.7266667	73.2
2330	1	3	20	193.0354839	74.08548387
2330	1	3	21	204.0548387	78.80806452
2330	1	3	22	214.3714286	82.13214286
2330	1	3	23	220.8790323	84.21935484
2330	2	3	1	210.145	81.02833333
2330	2	3	2	181.6225806	70.15
2330	2	3	3	183.8133333	70.15
2330	2	3	4	189.8870968	72.60967742
2330	2	3	5	182.2129032	70.44516129
2330	2	3	6	182.7966667	70.15
2330	2	3	7	181.3274194	70.15
2330	2	3	8	183.5083333	71.57333333
2330	2	3	9	173.5548387	67.78870968
2330	2	3	10	178.7693548	69.75645161
2330	2	3	11	182.7821429	71.56607143
2330	2	3	12	184.8693548	71.82258065
2330	2	3	13	189.9133333	73.60666667
2330	2	3	14	191.7564516	74.18387097
2330	2	3	15	195.4033333	75.53833333
2330	3	3	1	188.0177419	72.31451613
2330	3	3	2	186.05	73.2
2334	1	2	1	158.9267857	61.43571429
2334	1	2	2	137.7419355	53.71935484
2334	1	2	3	134.4033333	51.85
2334	1	2	4	132.9209677	51.85
2334	1	2	5	132.7766667	51.85
2334	1	2	6	130.6580645	50.47258065
2334	1	2	7	127.6080645	49.39032258
2334	1	2	8	125.05	48.8
2334	1	2	9	125.2467742	48.8
2334	1	2	10	130.235	49.105
2334	1	2	11	132.133871	51.85
2334	1	2	12	131.15	51.85
2334	1	2	13	132.7275862	51.85
2334	1	2	14	133.9048387	51.85
2334	1	2	15	134.0983333	51.85
2334	1	2	16	133.0193548	51.85
2334	1	2	17	134.9116667	51.85
2334	1	2	18	138.6274194	53.22741935
2334	1	2	19	141.1854839	54.50645161
2334	1	2	20	145.0783333	56.425
2334	1	2	21	153.2870968	58.34354839
2334	1	2	22	156.5666667	61
2334	2	2	1	148.466129	57.8516129
2334	2	2	2	129.2806452	48.8
2334	2	2	3	128.3178571	48.8
2334	2	2	4	129.4774194	48.8
2334	2	2	5	126.6766667	48.8
2334	2	2	6	128.6903226	49.39032258
2334	2	2	7	131.15	51.85
2334	2	2	8	130.0677419	50.76774194
2334	2	2	9	129.4774194	48.8
2334	2	2	10	129.93	50.42666667
2334	2	2	11	132.3306452	50.47258065
2334	2	2	12	132.5733333	51.85
2334	2	2	13	136.266129	51.85
2334	2	2	14	136.8564516	51.85
2334	2	2	15	138.6660714	53.26607143
2334	2	2	16	143.4483871	55.09677419
2334	2	2	17	150.06	57.95
2334	2	2	18	150.433871	57.95
2334	3	2	1	117.12	45.03833333
2334	3	2	2	108.0290323	42.7
2334	3	2	3	105.60625	41.55625
2341	1	2	1	167.8483871	65.91935484
2341	1	2	2	139.5375	54.1375
2341	1	2	3	136.0693548	51.85
2341	1	2	4	131.3533333	50.42666667
2341	1	2	5	129.2806452	50.27580645
2341	1	2	6	125.5583333	49.30833333
2341	1	2	7	126.7225806	48.8
2341	1	2	8	125.6403226	48.8
2341	1	2	9	123.7283333	48.8
2341	1	2	10	122	48.60322581
2341	1	2	11	122.61	46.76666667
2341	1	2	12	127.4112903	48.8
2341	1	2	13	123.6725806	48.8
2341	1	2	14	128.2051724	48.8
2341	1	2	15	127.8048387	48.8
2341	1	2	16	131.15	50.325
2341	1	2	17	136.0693548	51.85
2341	1	2	18	137.9616667	53.88333333
2341	1	2	19	141.1854839	54.9
2341	1	2	20	148.6629032	57.55645161
